source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds006192	xcp_d-0.10.6	sub-24053	ses-1	1086	1761664722	214	1211419321	0
ds006192	xcp_d-0.10.6	sub-24630	ses-1	1086	1757600454	214	1210863311	0
ds006192	xcp_d-0.10.6	sub-24663	ses-1	1086	1763322622	214	1213747167	0
ds006192	xcp_d-0.10.6	sub-24683	ses-1	1085	1710391469	213	1161041842	0
ds006192	xcp_d-0.10.6	sub-24684	ses-1	1086	1756068325	214	1207869981	0
ds006192	xcp_d-0.10.6	sub-24696	ses-1	1086	1762029655	214	1213271442	0
ds006192	xcp_d-0.10.6	sub-24697	ses-1	1085	1711671889	213	1160505571	0
ds006192	xcp_d-0.10.6	sub-24699	ses-1	1086	1754392203	214	1206839941	0
ds006192	xcp_d-0.10.6	sub-24702	ses-1	1086	1765295158	214	1215075183	0
ds006192	xcp_d-0.10.6	sub-60295	ses-1	1085	1706961927	213	1157827654	0
ds006192	xcp_d-0.10.6	sub-PILOT01	ses-1	1085	1626470459	213	1093136215	0
ds006192	xcp_d-0.10.6	sub-PILOT02	ses-1	1085	1701724115	213	1155206210	0
